date;code_etu;nature;duree_retard;justifiee;excusee;enseignant;cours;type;duree_cours
2021-12-13T08:00:00;38;absence;;false;false;Enseignant001;R1.09 Introduction à l'économie durable et numérique;CM;60
2021-12-13T14:00:00;22;absence;;true;false;Enseignant009;R1.01 Initiation au développement;TD;180
2021-12-13T14:00:00;34;absence;;true;false;Enseignant009;R1.01 Initiation au développement;TD;180
2021-12-13T14:00:00;38;absence;;false;false;Enseignant009;R1.01 Initiation au développement;TD;180
2021-12-14T08:20:00;19;absence;;false;false;Enseignant001;R1.09 Introduction à l'économie durable et numérique;CM;60
2021-12-14T08:20:00;38;absence;;false;false;Enseignant001;R1.09 Introduction à l'économie durable et numérique;CM;60
2021-12-15T09:00:00;3;absence;;true;false;Enseignant001;R1.09 Introduction à l'économie durable et numérique;TP;90
2021-12-15T09:00:00;19;absence;;false;false;Enseignant001;R1.09 Introduction à l'économie durable et numérique;TP;90
2021-12-15T09:00:00;27;absence;;false;false;Enseignant001;R1.09 Introduction à l'économie durable et numérique;TP;90
2021-12-15T09:00:00;30;absence;;false;false;Enseignant009;R1.01 Initiation au développement;TP;180
2021-12-15T09:00:00;32;absence;;false;false;Enseignant001;R1.09 Introduction à l'économie durable et numérique;TP;90
2021-12-15T09:00:00;38;absence;;false;false;Enseignant001;R1.09 Introduction à l'économie durable et numérique;TP;90
2021-12-15T10:30:00;3;absence;;true;false;Enseignant002;R1.06 Mathématiques discrètes;TD;90
2021-12-15T10:30:00;19;absence;;false;false;Enseignant002;R1.06 Mathématiques discrètes;TD;90
2021-12-15T10:30:00;32;absence;;false;false;Enseignant002;R1.06 Mathématiques discrètes;TD;90
2021-12-15T10:30:00;38;absence;;false;false;Enseignant002;R1.06 Mathématiques discrètes;TD;90
2021-12-15T13:30:00;3;absence;;true;false;Enseignant005;R1.04 Intro aux syst. d'exploitation & à leur fonctionnement;TP;90
2021-12-15T13:30:00;19;absence;;false;false;Enseignant009;R1.01 Initiation au développement;TP;180
2021-12-15T13:30:00;32;absence;;false;false;Enseignant009;R1.01 Initiation au développement;TP;180
2021-12-15T13:30:00;38;absence;;false;false;Enseignant005;R1.04 Intro aux syst. d'exploitation & à leur fonctionnement;TP;90
2021-12-16T09:00:00;5;absence;;true;false;Enseignant007;R1.10 Anglais;TP;90
2021-12-16T09:00:00;19;absence;;false;false;Enseignant005;R1.04 Intro aux syst. d'exploitation & à leur fonctionnement;TP;180
2021-12-16T09:00:00;31;absence;;true;false;Enseignant007;R1.10 Anglais;TP;90
2021-12-16T09:00:00;38;absence;;false;false;Enseignant009;R1.01 Initiation au développement;TP;180
2021-12-16T09:40:00;51;absence;;true;false;Enseignant009;R1.01 Initiation au développement;TP;130
2021-12-16T10:30:00;5;absence;;true;false;Enseignant002;R1.06 Mathématiques discrètes;TD;90
2021-12-16T10:30:00;31;absence;;true;false;Enseignant002;R1.06 Mathématiques discrètes;TD;90
2021-12-16T13:30:00;5;absence;;true;false;Enseignant009;R1.01 Initiation au développement;TP;180
2021-12-16T13:30:00;31;absence;;true;false;Enseignant009;R1.01 Initiation au développement;TP;180
2022-01-04T08:00:00;14;absence;;false;true;Enseignant001;R1.09 Introduction à l'économie durable et numérique;TD;90
2022-01-04T08:00:00;22;absence;;false;true;Enseignant001;R1.09 Introduction à l'économie durable et numérique;TD;90
2022-01-04T08:00:00;27;absence;;false;true;Enseignant001;R1.09 Introduction à l'économie durable et numérique;TD;90
2022-01-04T08:00:00;34;absence;;false;true;Enseignant001;R1.09 Introduction à l'économie durable et numérique;TD;90
2022-01-04T09:30:00;27;absence;;false;false;Enseignant002;R1.06 Mathématiques discrètes;TD;90
2022-01-05T09:00:00;54;absence;;true;false;Enseignant002;R1.06 Mathématiques discrètes;TP;90
