date;code_etu;nature;duree_retard;justifiee;excusee;enseignant;cours;type;duree_cours
2022-09-06T08:30:00;31;absence;;true;false;Enseignant006;R3.04 Qualité et Développement;TD;180
2022-09-07T13:30:00;31;absence;;false;true;Enseignant005;R3.05 Programmation système;TP;180
2022-09-07T16:30:00;31;absence;;false;true;Enseignant001;R3.13 Communication professionnelle;TD;90
2022-09-08T09:00:00;23;absence;;true;false;Enseignant003;R3.01 Développement web;TD;180
2022-09-09T09:00:00;14;absence;;false;true;Enseignant003;R3.01 Développement web;TD;180
2022-09-09T09:00:00;21;absence;;true;false;Enseignant003;R3.01 Développement web;TD;180
2022-09-12T09:00:00;8;absence;;false;false;Enseignant008;R3.07 SQL dans un langage de programmation;TD;180
2022-09-13T10:00:00;34;absence;;true;false;Enseignant001;R3.13 Communication professionnelle;TD;90
2022-09-14T08:00:00;33;absence;;false;false;Enseignant005;R3.05 Programmation système;CM;60
2022-09-15T08:00:00;28;absence;;false;false;Enseignant005;R3.05 Programmation système;TP;180
2022-09-15T09:30:00;3;absence;;false;false;Enseignant006;R3.04 Qualité et Développement;TD;180
2022-09-16T08:00:00;33;absence;;false;false;Enseignant005;R3.05 Programmation système;TP;240
2022-09-16T14:00:00;33;absence;;false;false;Enseignant007;R3.12 Anglais;TD;90
2022-09-19T09:00:00;17;absence;;true;false;Enseignant006;R3.04 Qualité et Développement;TD;90
2022-09-19T13:30:00;17;absence;;true;false;Enseignant003;R3.01 Développement web;TD;180
2022-09-20T09:00:00;8;absence;;true;false;Enseignant007;R3.12 Anglais;TD;90
2022-09-20T09:00:00;17;absence;;true;false;Enseignant007;R3.12 Anglais;TD;90
2022-09-20T10:30:00;8;absence;;true;false;Enseignant016;R3.03 Analyse;TD;90
2022-09-20T10:30:00;17;absence;;true;false;Enseignant016;R3.03 Analyse;TD;90
2022-09-20T13:00:00;8;absence;;true;false;Enseignant018;R3.08 Probabilités;TD;180
2022-09-20T13:00:00;17;absence;;true;false;Enseignant018;R3.08 Probabilités;TD;180
2022-09-20T16:00:00;8;absence;;true;false;Enseignant007;R3.12 Anglais;TD;90
2022-09-20T16:00:00;17;absence;;true;false;Enseignant007;R3.12 Anglais;TD;90
2022-09-21T11:00:00;8;absence;;true;false;Enseignant001;R3.13 Communication professionnelle;TD;90
2022-09-21T13:30:00;8;absence;;true;false;Enseignant005;R3.05 Programmation système;TP;180
2022-09-21T16:30:00;8;absence;;true;false;Enseignant001;R3.13 Communication professionnelle;TD;90
2022-09-22T08:30:00;8;absence;;true;false;Enseignant003;R3.01 Développement web;TD;180
2022-09-23T08:00:00;3;absence;;false;false;Enseignant001;R3.13 Communication professionnelle;TD;90
2022-09-23T09:30:00;9;absence;;false;false;Enseignant001;R3.13 Communication professionnelle;TD;90
2022-09-23T09:30:00;14;absence;;true;false;Enseignant001;R3.13 Communication professionnelle;TD;90
2022-09-23T13:30:00;14;absence;;true;false;Enseignant003;R3.01 Développement web;TD;180
2022-09-26T14:20:00;36;absence;;false;false;Enseignant001;R3.13 Communication professionnelle;TP;40
2022-10-05T09:30:00;13;absence;;false;false;Enseignant006;R3.04 Qualité et Développement;TD;60
2022-10-05T09:30:00;36;absence;;false;false;Enseignant006;R3.04 Qualité et Développement;TD;60
2022-10-05T13:30:00;21;absence;;true;false;Enseignant001;R3.13 Communication professionnelle;TP;90
2022-10-07T09:00:00;29;absence;;false;true;Enseignant002;R3.09 Cryptographie et sécurité;TD;90
2022-10-07T09:00:00;40;absence;;false;true;Enseignant002;R3.09 Cryptographie et sécurité;TD;90
2022-10-13T09:00:00;8;absence;;false;false;Enseignant006;R3.04 Qualité et Développement;TD;180
2022-10-13T13:30:00;8;absence;;false;false;Enseignant002;R3.09 Cryptographie et sécurité;TD;90
2022-10-13T15:30:00;8;absence;;false;false;Enseignant003;R3.01 Développement web;TP;180
2022-10-13T16:30:00;13;retard;15;false;false;Enseignant007;R3.12 Anglais;TD;90
2022-10-13T16:30:00;30;retard;15;false;false;Enseignant007;R3.12 Anglais;TD;90
2022-10-13T16:30:00;36;retard;15;false;false;Enseignant007;R3.12 Anglais;TD;90
2022-10-17T09:30:00;4;retard;55;false;false;Enseignant007;R3.12 Anglais;TD;90
2022-10-17T09:30:00;6;absence;;true;false;Enseignant007;R3.12 Anglais;TD;90
2022-10-17T09:30:00;14;absence;;true;false;Enseignant001;R3.11 Droit des contrats et du numérique;TP;90
2022-10-17T09:30:00;32;absence;;true;false;Enseignant007;R3.12 Anglais;TD;90
2022-10-17T09:30:00;52;absence;;true;false;Enseignant007;R3.12 Anglais;TD;90
2022-10-17T09:30:00;54;absence;;true;false;Enseignant007;R3.12 Anglais;TD;90
2022-10-17T11:00:00;6;absence;;true;false;Enseignant001;R3.11 Droit des contrats et du numérique;TP;90
2022-10-17T11:00:00;14;absence;;true;false;Enseignant007;R3.12 Anglais;TD;90
2022-10-17T11:00:00;27;absence;;true;false;Enseignant005;R3.05 Programmation système;TP;90
2022-10-17T11:00:00;32;absence;;true;false;Enseignant005;R3.05 Programmation système;TP;90
2022-10-17T11:00:00;54;absence;;true;false;Enseignant005;R3.05 Programmation système;TP;90
2022-10-17T14:00:00;6;absence;;true;false;Enseignant007;R3.12 Anglais;TD;90
2022-10-17T14:00:00;14;absence;;true;false;Enseignant005;R3.05 Programmation système;TP;90
2022-10-17T14:00:00;27;absence;;true;false;Enseignant007;R3.12 Anglais;TD;90
2022-10-17T14:00:00;32;absence;;true;false;Enseignant007;R3.12 Anglais;TD;90
2022-10-17T14:00:00;52;absence;;true;false;Enseignant007;R3.12 Anglais;TD;90
2022-10-17T14:00:00;54;absence;;true;false;Enseignant007;R3.12 Anglais;TD;90
2022-10-17T15:30:00;6;absence;;true;false;Enseignant005;R3.05 Programmation système;TP;90
2022-10-17T15:30:00;14;absence;;true;false;Enseignant007;R3.12 Anglais;TD;90
2022-10-17T15:30:00;27;absence;;true;false;Enseignant001;R3.11 Droit des contrats et du numérique;TP;90
2022-10-17T15:30:00;32;absence;;true;false;Enseignant001;R3.11 Droit des contrats et du numérique;TP;90
2022-10-17T15:30:00;52;absence;;true;false;Enseignant005;R3.05 Programmation système;TP;90
2022-10-17T15:30:00;54;absence;;true;false;Enseignant001;R3.11 Droit des contrats et du numérique;TP;90
