date;code_etu;nature;duree_retard;justifiee;excusee;enseignant;cours;type;duree_cours
2023-09-07T15:00:00;13;absence;;true;false;Enseignant027;R5.Real.14 Anglais;TD;90
2023-09-11T11:20:00;43;absence;;false;false;Enseignant008;Présentation Stage;PRESENTATION STAGE;60
2023-10-02T09:00:00;52;absence;;true;false;Enseignant012;R5.01Initiation au management d'une équipe de projet informatique;TD;180
2023-10-02T09:00:00;54;absence;;true;false;Enseignant012;R5.01Initiation au management d'une équipe de projet informatique;TD;180
2023-10-02T13:30:00;52;absence;;true;false;Enseignant006;R5.Real.05 Programmation avancée;TP;180
2023-10-02T16:30:00;52;absence;;true;false;Enseignant028;R5.Real.10 Nouveaux paradigmes de base de données;TD;180
2023-10-02T16:30:00;54;absence;;true;false;Enseignant028;R5.Real.10 Nouveaux paradigmes de base de données;TD;180
2023-10-03T09:30:00;54;absence;;true;false;Enseignant002;R5.Real.05 Programmation avancée;TP;180
2023-10-03T13:30:00;43;absence;;true;false;Enseignant019;R5.Real.09 Virtualisation avancée;TD;180
2023-10-03T13:30:00;52;absence;;true;false;Enseignant019;R5.Real.09 Virtualisation avancée;TD;180
2023-10-03T13:30:00;54;absence;;true;false;Enseignant019;R5.Real.09 Virtualisation avancée;TD;180
2023-10-04T11:30:00;11;absence;;false;false;Enseignant001;Présentation Pépites;PRÉSENTATION PEPITES;60
2023-10-04T11:30:00;54;absence;;true;false;Enseignant001;Présentation Pépites;PRÉSENTATION PEPITES;60
2023-10-05T09:00:00;13;absence;;false;false;Enseignant002;R5.Real.12 Modélisation mathématiques;TD;180
2023-10-05T10:30:00;13;absence;;false;false;Enseignant027;R5.Real.14 Anglais;TD;90
2023-10-09T08:00:00;12;absence;;false;false;Enseignant019;R5.Real.09 Virtualisation avancée;CM;60
2023-10-09T08:00:00;16;absence;;false;false;Enseignant019;R5.Real.09 Virtualisation avancée;CM;60
2023-10-09T08:00:00;29;absence;;false;false;Enseignant019;R5.Real.09 Virtualisation avancée;CM;60
2023-10-09T08:00:00;54;retard;30;false;false;Enseignant019;R5.Real.09 Virtualisation avancée;CM;60
2023-10-09T09:00:00;12;absence;;false;false;Enseignant001;R5.Real.13 Economie durable et numérique;TD;90
2023-10-09T16:30:00;12;absence;;false;false;Enseignant028;R5.Real.10 Nouveaux paradigmes de base de données;TD;120
2023-10-11T08:00:00;8;absence;;false;false;Enseignant028;R5.Real.10 Nouveaux paradigmes de base de données;TD;120
2023-10-11T10:00:00;8;absence;;false;false;Enseignant002;R5.Real.12 Modélisation mathématiques;TD;90
2023-10-12T14:00:00;16;absence;;false;false;Enseignant002;R5.Real.12 Modélisation mathématiques;TD;90
